,studentid,firstname,familyname,school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,finalgrade,absences_category,no_studytime,walc_percent,goout_percent,no_studytime_percent,absences_category_percent,accompanying_complexity,fail
31,31,Dinis,Formosa,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,0,3,20.0,20.0,75.0,0.0,23.0,0
32,32,Beatriz,Figueira,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,16,0,3,20.0,40.0,75.0,0.0,27.0,0
33,33,Rafael,Guardado,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,12,0,3,20.0,40.0,75.0,0.0,27.0,0
34,34,Francisca,Marte,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,15,0,4,20.0,60.0,100.0,0.0,36.0,0
35,35,Tomás,Alvares,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,6,0,4,20.0,20.0,100.0,0.0,28.0,1
36,36,Maria,Alto,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,18,0,2,20.0,60.0,50.0,0.0,26.0,0
37,37,Santiago,Caetano,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,0,2,20.0,60.0,50.0,0.0,26.0,0
38,38,Salvador,De Melo,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,0,2,20.0,40.0,50.0,0.0,22.0,0
39,39,Martim,De Julio,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,13,1,4,20.0,20.0,100.0,100.0,68.0,0
40,40,Benedita,Nobriga,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,11,1,3,40.0,60.0,75.0,100.0,75.0,0
41,41,Santiago,Lois,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,1,4,80.0,60.0,100.0,100.0,88.0,0
42,42,Miguel,Almada,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,18,0,3,20.0,60.0,75.0,0.0,31.0,0
43,43,Rafael,Martines,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,11,0,4,20.0,20.0,100.0,0.0,28.0,0
44,44,Gabriel,Cotta,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,9,1,3,40.0,60.0,75.0,100.0,75.0,1
45,45,Duarte,Penso,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,6,1,3,20.0,40.0,75.0,100.0,67.0,1
46,46,Ana,De Moura,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,1,3,80.0,100.0,75.0,100.0,91.0,0
47,47,Tomás,Fosco,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,20,0,1,20.0,40.0,25.0,0.0,17.0,0
48,48,Inês,De Freitas,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,14,0,3,40.0,60.0,75.0,0.0,35.0,0
49,49,Clara,Lias,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,0,3,20.0,80.0,75.0,0.0,35.0,1
50,50,Camila,Cunha,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,13,0,3,60.0,60.0,75.0,0.0,39.0,0
51,51,Joana,Araujo,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,13,0,3,20.0,60.0,75.0,0.0,31.0,0
52,52,Francisco,De Mello,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,10,0,4,80.0,100.0,100.0,0.0,56.0,1
53,53,Dinis,Simoes,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,11,0,4,60.0,80.0,100.0,0.0,48.0,0
54,54,Santiago,Goncalves,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,13,0,4,80.0,80.0,100.0,0.0,52.0,0
55,55,Lara,Basto,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,10,1,3,20.0,80.0,75.0,100.0,75.0,1
56,56,Salvador,Peixoto,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,0,3,20.0,40.0,75.0,0.0,27.0,0
57,57,Salvador,Da Cunha,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,15,0,3,20.0,40.0,75.0,0.0,27.0,0
58,58,Rafael,Gandara,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,0,3,20.0,40.0,75.0,0.0,27.0,1
59,59,Rafael,Maestre,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,16,0,3,20.0,60.0,75.0,0.0,31.0,0
60,60,Sofia,Louro,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,11,0,3,60.0,80.0,75.0,0.0,43.0,0
61,61,Carolina,Quadros,GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,11,0,4,100.0,100.0,100.0,0.0,60.0,0
62,62,João,Seda,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,9,0,3,20.0,60.0,75.0,0.0,31.0,1
63,63,Lourenço,De Armas,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,9,0,2,80.0,80.0,50.0,0.0,42.0,1
64,64,Madalena,Cavaco,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,0,3,80.0,80.0,75.0,0.0,47.0,1
65,65,Guilherme,Serpa,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,15,0,3,40.0,60.0,75.0,0.0,35.0,0
66,66,Lara,Madeiros,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,12,0,1,100.0,60.0,25.0,0.0,37.0,0
67,67,Alice,Reposa,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,6,0,1,40.0,60.0,25.0,0.0,25.0,1
68,68,Mariana,Primo,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,8,0,3,60.0,60.0,75.0,0.0,39.0,1
69,69,Leonor,Armao,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,1,1,60.0,40.0,25.0,100.0,65.0,0
70,70,Lucas,Sola,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,15,0,1,20.0,40.0,25.0,0.0,17.0,0
71,71,Santiago,Danca,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,0,1,20.0,60.0,25.0,0.0,21.0,1
72,72,Francisca,Diniz,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,5,0,3,80.0,80.0,75.0,0.0,47.0,1
73,73,Inês,Martinho,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,14,0,4,40.0,40.0,100.0,0.0,36.0,0
74,74,Guilherme,Freire,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,1,3,80.0,60.0,75.0,100.0,83.0,0
75,75,Dinis,De Sousa,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,10,0,3,60.0,60.0,75.0,0.0,39.0,1
76,76,Sofia,Pimental,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,10,1,1,20.0,60.0,25.0,100.0,61.0,1
77,77,Guilherme,Moura,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,0,1,60.0,60.0,25.0,0.0,29.0,0
78,78,Beatriz,Paulos,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,10,0,4,20.0,20.0,100.0,0.0,28.0,1
79,79,Gabriel,De Barros,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,1,3,40.0,60.0,75.0,100.0,75.0,1
80,80,Matilde,Ines,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,12,0,4,60.0,40.0,100.0,0.0,40.0,0
81,81,Lara,Sardinha,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,0,2,40.0,40.0,50.0,0.0,26.0,0
82,82,Francisco,Domingos,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,6,1,3,20.0,80.0,75.0,100.0,75.0,1
83,83,Clara,Fidalgo,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,0,3,60.0,60.0,75.0,0.0,39.0,0
84,84,Guilherme,Corado,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,10,0,3,60.0,40.0,75.0,0.0,35.0,1
85,85,Diana,Da Rosa,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,8,0,3,60.0,80.0,75.0,0.0,43.0,1
86,86,Afonso,Cacho,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,6,0,3,40.0,80.0,75.0,0.0,39.0,1
87,87,Gabriel,Solorio,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,14,0,2,60.0,60.0,50.0,0.0,34.0,0
88,88,Lucas,De Pina,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,10,1,3,20.0,40.0,75.0,100.0,67.0,1
89,89,Miguel,Chico,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,7,1,3,100.0,60.0,75.0,100.0,87.0,1
90,90,Afonso,Junior,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,8,0,2,60.0,60.0,50.0,0.0,34.0,1
91,91,Maria,Marques,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,18,0,4,60.0,100.0,100.0,0.0,52.0,0
92,92,Francisca,Magalhaes,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,6,0,3,60.0,60.0,75.0,0.0,39.0,1
93,93,Camila,De Sa,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,10,0,3,20.0,60.0,75.0,0.0,31.0,1
94,94,Martim,Neve,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,14,0,1,20.0,80.0,25.0,0.0,25.0,0
95,95,Lara,Souza,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,10,0,1,20.0,40.0,25.0,0.0,17.0,1
96,96,João,Amorim,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,15,0,4,20.0,60.0,100.0,0.0,36.0,0
97,97,Sofia,Mateus,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,10,0,3,20.0,100.0,75.0,0.0,39.0,1
98,98,Inês,Simas,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,14,0,4,40.0,80.0,100.0,0.0,44.0,0
99,99,Diana,Damaso,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,8,0,2,20.0,100.0,50.0,0.0,34.0,1
100,100,Lucas,Marcelino,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,5,1,4,100.0,100.0,100.0,100.0,100.0,1
101,101,Leonor,Vara,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,17,0,2,20.0,60.0,50.0,0.0,26.0,0
102,102,Madalena,Spinola,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,14,0,4,20.0,60.0,100.0,0.0,36.0,0
103,103,Madalena,Matos,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,6,1,3,20.0,100.0,75.0,100.0,79.0,1
104,104,Mariana,Soares,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,18,0,3,20.0,80.0,75.0,0.0,35.0,0
105,105,Beatriz,Vala,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,11,1,1,20.0,60.0,25.0,100.0,61.0,0
106,106,Madalena,Meneses,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8,8,1,1,20.0,40.0,25.0,100.0,57.0,1
107,107,Lucas,Saade,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,18,0,2,20.0,60.0,50.0,0.0,26.0,0
108,108,Gonçalo,Fogo,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,13,0,1,100.0,100.0,25.0,0.0,45.0,0
109,109,Joana,Raposa,GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,16,0,2,20.0,100.0,50.0,0.0,34.0,0
110,110,Leonor,Arvelo,GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,19,0,4,20.0,60.0,100.0,0.0,36.0,0
111,111,Alice,Lucio,GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,10,0,2,20.0,40.0,50.0,0.0,22.0,1
112,112,Madalena,Couto,GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6,13,0,3,20.0,40.0,75.0,0.0,27.0,0
113,113,Afonso,Natal,GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,19,1,4,20.0,40.0,100.0,100.0,72.0,0
114,114,Francisco,Montalto,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8,9,1,3,20.0,40.0,75.0,100.0,67.0,1
115,115,Pedro,Monserrate,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,16,0,3,40.0,80.0,75.0,0.0,39.0,0
116,116,Beatriz,Lapa,GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2,14,0,3,20.0,60.0,75.0,0.0,31.0,0
117,117,Clara,Nazario,GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,13,0,4,20.0,40.0,100.0,0.0,32.0,0
118,118,Clara,Frausto,GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20,8,1,3,80.0,80.0,75.0,100.0,87.0,1
119,119,Guilherme,Pereyra,GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6,13,0,4,40.0,60.0,100.0,0.0,40.0,0
120,120,Martim,Portela,GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,15,0,3,40.0,60.0,75.0,0.0,35.0,0
121,121,Duarte,Resendes,GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,15,0,1,40.0,80.0,25.0,0.0,29.0,0
